iter	Logloss
0	0.5284902929
1	0.4515932616
2	0.4054955921
3	0.3776179776
4	0.3613986572
5	0.3499368407
6	0.3400764817
7	0.3325831332
8	0.3273463927
9	0.3240846698
10	0.3190553716
11	0.316566886
12	0.313862391
13	0.3117614439
14	0.3102162468
15	0.3088276495
16	0.3069477525
17	0.3058838231
18	0.3047660541
19	0.3038259681
20	0.3030804269
21	0.3024210489
22	0.3017027302
23	0.3013381114
24	0.3005525709
25	0.2997153362
26	0.2992655892
27	0.2981004553
28	0.2977705941
29	0.2964246286
30	0.2958439854
31	0.2955349775
32	0.2935566008
33	0.2929361446
34	0.2923489685
35	0.2919601885
36	0.2917801382
37	0.2909313384
38	0.2901155512
39	0.289832383
40	0.2896640908
41	0.2892809215
42	0.2889733625
43	0.2881319141
44	0.2879841685
45	0.2877978563
46	0.2876626964
47	0.2874411077
48	0.2871986959
49	0.2868939178
50	0.2868868427
51	0.2865915209
52	0.2864157351
53	0.2861537019
54	0.2859755682
55	0.2859329938
56	0.2856849032
57	0.2854513386
58	0.2852303199
59	0.284456078
60	0.2842030769
61	0.2839792754
62	0.2838913546
63	0.2837200917
64	0.2832454343
65	0.2830517518
66	0.2827077622
67	0.2819957209
68	0.2817495539
69	0.2814545851
70	0.2810662062
71	0.2809470606
72	0.2803684204
73	0.279978056
74	0.2798984645
75	0.2796614111
76	0.2793528387
77	0.2788708074
78	0.2788033308
79	0.2785949962
80	0.278412841
81	0.2780439505
82	0.277940496
83	0.2777847536
84	0.27749242
85	0.2774050427
86	0.2773270603
87	0.2772292471
88	0.2770854315
89	0.2769881031
90	0.276872789
91	0.2765711706
92	0.2763424762
93	0.2762584998
94	0.2760978143
95	0.2758831503
96	0.275822215
97	0.2755774485
98	0.2754324139
99	0.2753457179
