iter	Passed	Remaining
0	52	5158
1	55	2732
2	60	1950
3	64	1538
4	67	1277
5	70	1103
6	74	991
7	78	901
8	81	822
9	84	758
10	87	704
11	91	670
12	94	635
13	98	603
14	101	574
15	105	551
16	109	532
17	112	514
18	115	494
19	118	475
20	122	461
21	126	447
22	129	433
23	132	419
24	136	409
25	140	399
26	143	387
27	146	376
28	149	364
29	153	357
30	156	348
31	159	339
32	162	329
33	165	320
34	168	313
35	172	306
36	175	298
37	178	290
38	181	283
39	184	276
40	187	270
41	191	264
42	194	258
43	197	251
44	202	247
45	206	242
46	209	235
47	212	229
48	215	224
49	219	219
50	222	213
51	225	208
52	229	203
53	232	198
54	235	192
55	239	187
56	241	182
57	244	177
58	249	173
59	252	168
60	255	163
61	258	158
62	261	153
63	265	149
64	268	144
65	271	139
66	274	135
67	277	130
68	281	126
69	284	122
70	287	117
71	290	112
72	293	108
73	298	105
74	302	100
75	305	96
76	308	92
77	312	88
78	315	83
79	318	79
80	321	75
81	325	71
82	328	67
83	331	63
84	334	59
85	337	55
86	341	51
87	344	46
88	347	42
89	350	38
90	353	34
91	355	30
92	359	27
93	362	23
94	365	19
95	367	15
96	371	11
97	375	7
98	378	3
99	381	0
